aerobic capacity,NCT01125436
hearing loss,"NCT00205881,NCT00552786,NCT01108601,NCT01162330,NCT01217502,NCT01225978,NCT01343394,NCT01452607,NCT01481662,NCT01588925,NCT01773278,NCT01796236,NCT01800929"
sexual assault,NCT01338428
oral lichen planus,NCT01524744
conjunctivitis giant papillary,NCT01437982
stable angina or acute coronary syndrome considered for percutaneous coronary intervention with dyslipidemia or hypertension,NCT01502904
stage iii grade 3 follicular lymphoma,"NCT01805037,NCT00096161,NCT01273766,NCT00003970,NCT01682044"
skin conditions,NCT01467778
congenital abnormality,NCT01302977
stage ic fallopian tube cancer,NCT01764802
stage iii malignant testicular germ cell tumor,NCT00042952
advanced ent surgery,NCT01730066
vertebral metastases,NCT01347307
carotid stenosis,"NCT00004732,NCT00106938,NCT01133327,NCT01146301,NCT01337128,NCT01451294,NCT01572623,NCT01645306,NCT00190398"
port wine stains,NCT01101360
maxillary cyst,NCT01389661
cerebral palsy,"NCT01803464,NCT01803243,NCT01773161,NCT01832454,NCT00419432,NCT01157494,NCT01189058,NCT01193660,NCT01200927,NCT01313325,NCT01378442,NCT01379443,NCT01386255,NCT01413594,NCT01466296,NCT01486732,NCT01489904,NCT01492608,NCT01527162,NCT01528436,NCT01564433,NCT01586052,NCT01633736,NCT01639404,NCT01643239,NCT01650415,NCT01744158,NCT01751503,NCT01763255,NCT01770678,NCT01779661"
neurological conditions,NCT01631604
philadelphia chromsome positive acute lymphoblastic leukemia,NCT01528085
hyperlipidemias,"NCT01280604,NCT01291641,NCT01600313"
chronic obstructive pulmonary disease with acute exacerbation,"NCT01473758,NCT01658020"
neoplasms colorectal,"NCT00536809,NCT01139138"
hypertrophy of breast,NCT01297621
health information technology,NCT01250288
secondary syphilis,NCT01540227
carcinoma large cell,NCT01497041
schizo affective disorder,"NCT01003132,NCT01547026,NCT01720316,NCT01754532"
human immunodeficiency virus hiv infection,"NCT00717067,NCT01768182"
predicted poor responders,NCT01572025
chronic coronary occlusion,NCT01178268
microvascular angina,NCT01665508
uterine malignant mixed muellerian tumour,NCT01801215
childrens diet quality,NCT01374815
buergers disease,"NCT01302015,NCT01446055"
chinese immigrants with breast cancer,NCT01632956
mild pulmonary hypertension,NCT01696240
kwashiorkor,NCT01395381
hepatitis b disease,NCT00891176
primary myelofibrosis,"NCT00025415,NCT00039416,NCT00047190,NCT00096161,NCT01273766,NCT01298934,NCT01387763,NCT01423851,NCT01727102,NCT01731951,NCT01732445,NCT01760655,NCT00015821,NCT01790295,NCT01831635"
keloids,NCT01425216
waterborne disease,NCT01376336
laparoscopy,"NCT01092013,NCT01093430,NCT01191476,NCT01371136,NCT01558414"
proximal duct stricture,NCT01522573
stent obstruction,"NCT01522573,NCT01524146"
urinary schistosomiasis,"NCT01132248,NCT01512277"
ankylosing spondyloarthritis,NCT01583374
nausea and vomiting,"NCT01590147,NCT01669213"
aorta aneurysm,"NCT01480531,NCT01500395,NCT01505309"
steatosis,"NCT01748682,NCT01750021"
food effect of tivozanib in health subjects,NCT01316848
sexually transmitted infection,"NCT01387646,NCT01510262"
arthritis gouty,NCT00549549
with or without concurrent chemotherapy,NCT01548846
multiple co morbidities,NCT01391026
cat allergy disorder,NCT01740024
counseling,"NCT01088152,NCT01365026"
effects of whole body vibration exercise on metabolic systems,NCT01635673
moderate to severe plaque type psoriasis,"NCT01365455,NCT01544595"
parenting practices,"NCT01668992,NCT01829815"
psychological predictors,NCT01396694
by hepatic function normal mild moderate and severe dysfunction according to the child pugh classification,NCT01764776
cervicalgia,"NCT01568840,NCT01774734"
leiomyoma,"NCT01530802,NCT01768104"
subarachnoid hemorrhage,"NCT01091870,NCT01137110,NCT01261091,NCT01447095,NCT01463878,NCT02432157,NCT01747408,NCT01802762"
contraceptive methods comparison,NCT01805817
rectal cancers,NCT01340508
anorectal disorder,NCT01710579
end stage disease,NCT01427634
hemorrhagic stroke,"NCT01573117,NCT01573169,NCT01584167,NCT01584180,NCT01637129,NCT01774669"
acute circulatory failure,NCT01090791
plasmodium falciparum,"NCT01465048,NCT01728701,NCT00197028"
barotrauma,NCT01384500
postpartum weight retention,NCT01331564
brain injuries traumatic,"NCT00316004,NCT01336413,NCT01339702,NCT01418976"
irregular menstrual cycles,NCT01788215
radiation necrosis,NCT01201850
cardiac output,"NCT01103895,NCT01139294"
cancer other than leukemia,NCT01428128
hypoglycaemia,"NCT01337362,NCT01347801"
psychosis nos,"NCT01546467,NCT01731119"
tumour response,NCT01226316
juvenile idiopathic arthritis oligoarthritis,NCT01304420
the elderly of 75 years and older living at home,NCT01369797
vaccines pneumococcal,NCT00444457
carcinoma of the large intestine,NCT01320891
myeloblastic leukemia,NCT01615809
recurrent malignant gliomas,NCT01107522
neoplasms hypopharyngeal,NCT01175499
infection of skin andor subcutaneous tissue,NCT01551719
chronic alcoholic hepatitis,NCT01413360
viral infection,"NCT01520051,NCT01570283,NCT01806103"
hernia inguinal,"NCT00551135,NCT01237470,NCT01597011,NCT01641718,NCT01825187"
glycemia during coronary artery bypass graft,NCT01619436
congenital hip dysplasia,NCT01635166
abdominal aortic aneurysm uncomplicated,NCT01681251
assessing and creating awareness about the tobacco law,NCT01275950
herpes simplex virus hsv infections,NCT01682109
childhood ependymoblastoma,NCT02020720
hereditary intestinal polyposis syndrome,NCT01656746
stage ii uterine sarcoma,NCT01764802
marijuana dependence,"NCT01204723,NCT01347762,NCT01400243,NCT01574183,NCT01598896,NCT01827332"
stage iii prostate cancer,"NCT00074022,NCT00121238,NCT01555632,NCT01823562,NCT01664130,NCT01703065"
hepatic irradiation,NCT01519219
patients with gastroparesis who have failed standard therapy,NCT01711918
adpkd,NCT01632605
lesch nyhan disease,NCT01751802
advanced hepatocellular carcinoma with c met dysregulation,NCT01737827
her 2 negative tumor,NCT01548534
chest wall disorder,NCT01174316
chronic hepatitis c,"NCT02068222,NCT00049842,NCT00160251,NCT00854802,NCT01095445,NCT01140997,NCT01178996,NCT01221298,NCT01260350,NCT01272310,NCT01289496,NCT01340573,NCT01384383,NCT01403181,NCT01405027,NCT01413360,NCT01438320,NCT01439776,NCT01457937,NCT01459419,NCT01464827,NCT01542788,NCT01596517,NCT01604850,NCT01609933,NCT01625338,NCT01634919,NCT01639547,NCT01641640,NCT01649245,NCT01655966,NCT01664845,NCT01704755,NCT01717560,NCT01731301,NCT01783678,NCT01790100,NCT01831037,NCT00200343"
von hippel lindau syndrome,NCT01266070
mycosis fungoides mf,NCT01579318
memory disorders,"NCT01283750,NCT01782378"
lung tumour,NCT01621698
external causes of morbidity and mortality,NCT01759719
refractory epilepsy,"NCT01645072,NCT01763294"
basal cell carcinoma,"NCT00129519,NCT01260987,NCT01358045,NCT01370824,NCT01543581,NCT01700049"
fracture closed comminuted healing,NCT01386749
tricuspid valve insufficiency,NCT01585779
cerebral edema,"NCT01365793,NCT01605357"
4 acceptance of the use of nadis medical files,NCT01226368
hypoxia,"NCT01245491,NCT01260428,NCT01317329,NCT01507623,NCT01614119,NCT01681238,NCT01814449"
stable claudication fontaine iia and iib,NCT01230229
thiamine deficiency,NCT01524315
social anxiety disorder,"NCT01224067,NCT01491880,NCT01654510,NCT01687764,NCT01712321"
rectal cancer,"NCT00094809,NCT00005094,NCT01111604,NCT01113736,NCT01127867,NCT01130233,NCT01148056,NCT01186705,NCT01189877,NCT01206530,NCT01211210,NCT01237665,NCT01271192,NCT01287637,NCT01313026,NCT01323166,NCT01339273,NCT01347697,NCT01363843,NCT01366118,NCT01376453,NCT01395667,NCT01397305,NCT01407107,NCT01423214,NCT01431599,NCT01434147,NCT01443377,NCT01444495,NCT01458509,NCT01461525,NCT01488045,NCT01552226,NCT01579721,NCT01585727,NCT01605318,NCT01609504,NCT01650428,NCT01653301,NCT01659424,NCT01670851,NCT01696981,NCT01736072,NCT01786694,NCT01797770"
skin manifestations,"NCT01046396,NCT01046565"
observation of outcome after catheter ablation of atrial fibrillation,NCT01918670
sickle cell anemia,"NCT00004143,NCT00644865,NCT01340404,NCT01425307,NCT01479439,NCT01506544,NCT01531387,NCT01566890,NCT01703104,NCT01800526,NCT01801423"
leukodystrophy metachromatic,NCT01510028
tibial fracture,"NCT01300520,NCT01795287"
acute graft versus host disease,"NCT01596192,NCT01765634"
solid lesions of the gi tract or of adjacent organs,NCT01673945
ischemiareperfusion injury of kidney,NCT01637038
cardiac conduction defect,NCT01609738
coronavirus,NCT01249625
respiratory syncytial virus infection,NCT01466062
acute non infected wounds,NCT01195896
corneal spherical aberration,NCT01190631
amyotrophic lateral sclerosis,"NCT00035815,NCT00818389,NCT01082653,NCT01090674,NCT01142856,NCT01257581,NCT01285583,NCT01348451,NCT01363401,NCT01494480,NCT01521728,NCT01551940,NCT01641965,NCT01650818,NCT01753076,NCT01759784,NCT01759797,NCT01771640,NCT01786174"
primary peritoneal cancer,"NCT01105650,NCT01146795,NCT01196559,NCT01196741,NCT01219777,NCT01220154,NCT01296035,NCT01312376,NCT01312389,NCT01626014,NCT01652079,NCT01666444"
b cell childhood acute lymphoblastic leukemia,NCT00052520
mdd,"NCT01501812,NCT01557946"
non infected post surgical wounds,NCT01195896
measles antibody seroconversion,NCT01700621
leg ulcers,NCT01427491
cancer patients,"NCT01173913,NCT01603316"
portopulmonary hypertension,NCT01224210
mds,"NCT00303472,NCT00309842,NCT00321711,NCT00699842,NCT01133275,NCT01241500,NCT01342692,NCT01527838,NCT01584531,NCT01772420,NCT00176839,NCT00176930"
subacute stroke,NCT01383512
isthmic spondylolisthesis,NCT00834015
coronary artery restenosis,NCT00180479
unhealthy lifestyle of persons with mental disorders,NCT01336946
indication for allogeneic stem cell transplantation,NCT01220544
degenerative disc disease,"NCT01124006,NCT01406405,NCT01442922,NCT01455805,NCT01494428,NCT01494441,NCT01494454,NCT01495234,NCT01513577,NCT01609374,NCT01746212"
persistence of immunogenicity,NCT00891176
allergic rhinitis disorder,"NCT01231464,NCT01326247,NCT01436851"
infant overnutrition,NCT01816516
cervical disc degeneration,NCT01607775
refractory angina,NCT01205893
smoking relapse,NCT01252966
nervous system diseases,"NCT01307982,NCT01696591,NCT01743261"
safety and tolerability of iloperidone,NCT01495169
allergy to mold,NCT01494194
exercise training,NCT01313468
infarction myocardial,NCT00426751
stage iv malignant mesothelioma,"NCT00107432,NCT01503177"
diamond blackfan anemia,"NCT01362595,NCT01464164,NCT01586455,NCT00176878"
non traumatic osteonecrosis of the femoral head hip,NCT01544712
effectiveness of nurse family partnership nfp in bc,NCT01672060
student engagement,NCT01487434
juvenile arthritis,NCT01385826
chronic lymphatic leukemia,NCT01558167
cartilage injury,NCT01473199
adipose tissue,"NCT01564524,NCT01822301"
quality indicators,NCT01703689
inborn error of bile acid conjugation,NCT01589523
retinal vein occlusion,"NCT01581151,NCT00485836,NCT00486018,NCT01123564,NCT01198327,NCT01428388,NCT01580020,NCT01635803,NCT01717937"
true coronary bifurcation lesions,NCT01486095
cardiovascular disease risk,"NCT01425515,NCT01487668"
tooth disease,"NCT01529736,NCT01529775,NCT01529801,NCT01529814"
renal artery stenosis,"NCT01673373,NCT00631540,NCT01208714"
child maltreatment,"NCT01395238,NCT01458145,NCT01791777"
myelodysplasticmyeloproliferative neoplasms,"NCT00005622,NCT00072475,NCT00027560"
diabetic,NCT01295385
breast cancer nos premenopausal,NCT01266213
adverse reaction to peripheral nerve and plexus blocking anesthetics,NCT01374464
avascular necrosis of hip,NCT01512628
ischemic attack transient,"NCT00029146,NCT01509924,NCT01528462"
platelet dysfunction,NCT01526460
papillary carcinoma of uterus,NCT01801215
stage ii chronic lymphocytic leukemia,"NCT01361711,NCT00098670,NCT00003620"
exposure to pollution,NCT01492517
stage iiia colon cancer,"NCT00060411,NCT01656746,NCT01726296,NCT01787409"
steroids,NCT01564355
combat posttraumatic stess disorder,NCT01754883
hemarthrosis,NCT01748201
problems with emotion regulation,NCT01653548
wheelchairs,NCT01591226
gestational diabetes mellitus in pregnancy diet controlled,NCT01783210
ovarian fallopian tube and primary peritoneal cancer,NCT01579812
drug half life,NCT01501747
spondylitis,NCT01642706
seizures,"NCT00318929,NCT01239212,NCT01261416,NCT01415362,NCT01478035,NCT01554683,NCT01721317,NCT00162981"
rupture of intracranial aneurysm,NCT01091870
severe nasolabial fold,NCT01775293
cold contact urticaria,NCT01605487
acute illness,NCT01324687
external anogenital warts,NCT01111344
cardiovascular disease inflammation,NCT01810003
sexual precocity,NCT01278290
6ebc1e0f809e74ce8eda92f685ec775d,NCT01253668
cancer related pain,NCT01384877
 parkinsons disease,NCT01792843
facial nerve diseases,NCT01327157
focus of the study is on gut health,NCT01518088
renal calculi,"NCT01356355,NCT01437904,NCT01450566"
avian influenza,NCT01675284
glabellar rhytid complex,NCT01688076
dyschromia,NCT01491620
small cell lung cancer,"NCT00403403,NCT01159327,NCT01237678,NCT01242072,NCT01253369,NCT01417806,NCT01421316,NCT01426841,NCT01441297,NCT01487499,NCT01745445,NCT01752517,NCT01797159,NCT01831089"
chronic mental disorder,NCT01683539
long bone nonunion,NCT01581892
cardiac arrest,"NCT00808236,NCT01102153,NCT01119807,NCT01191736,NCT01252316,NCT01260441,NCT01295424,NCT01295749,NCT01319110,NCT01328847,NCT01390506,NCT01401647,NCT01472458,NCT01509040,NCT01514656,NCT01531426,NCT01617291,NCT01683006,NCT01753024,NCT00189423"
gastrointestinal stromal tumors gists,NCT01768104
abortion spontaneous,NCT01788540
preterm premature rupture of membranes,"NCT01266928,NCT01584323"
facioscapulohumeral muscular dystrophy,NCT01596803
anorectal physiology,NCT01111006
acute traumatic pain in aeromedical patients,NCT01169025
thyroid disease,NCT01280214
non metastatic breast cancer,NCT01563588
head injury,"NCT01824576,NCT01824589,NCT01605357,NCT01695577"
pneumonia,"NCT01429259,NCT01492387,NCT00123123,NCT00515034,NCT01089218,NCT01093261,NCT01098916,NCT01156701,NCT01174056,NCT01248715,NCT01309178,NCT01312792,NCT01319955,NCT01383213,NCT01386840,NCT01396759,NCT01399723,NCT01403350,NCT01416519,NCT01425073,NCT01446926,NCT01529476,NCT01806103,NCT01597973,NCT01619462,NCT01654887,NCT01669980,NCT01744145,NCT01792739,NCT01810055,NCT00148733,NCT00219401"
volatile organic compounds,"NCT01239238,NCT01241890"
rhinosinusitis,"NCT01132781,NCT01363531,NCT01553006,NCT01615536,NCT01680705,NCT01771198,NCT01800747"
feeling,NCT01629992
gastrointestinal cancer,"NCT00086762,NCT01116791,NCT01311843,NCT01375699,NCT01422993,NCT01487343,NCT01608646"
d0ff72d0565c82728b1d1eb730786886,NCT01280279
human immunodeficiency virus hiv infections,"NCT00337467,NCT01448707"
sepsis syndromes,NCT01364909
peripheral arterial diseases,"NCT01319812,NCT01336101"
myositis,"NCT01432613,NCT01790178"
colorectal disease,NCT01731782
partial epilepsy,"NCT00522418,NCT01090934,NCT01527513"
untrained,NCT01406730
tuberculosis miliary,"NCT01525134,NCT01693224"
bone tuberculosis,NCT01613196
pulmonary aspiration during anaesthetic induction,NCT01798342
closed non comminuted long bone fractures,NCT01718756
developmental delays,NCT01441674
paralytic ileus,NCT01607307
relapsed or plateau phase multiple myeloma,NCT00259740
pleural effusion malignant,"NCT01612975,NCT01670786,NCT01819363"
foetal growth problem,NCT00184717
inadequate or impaired breathing pattern or ventilation,NCT01322659
transplantation autologous,NCT01505569
osteoporotic fractures,"NCT01532076,NCT01537770,NCT01761084"
pituitary,NCT01705821
stem cell transplant,NCT01174277
prostate cancer screening,NCT01516801
impacted stones,NCT01522573
rabies virus,NCT01339312
stage iva salivary gland cancer,"NCT01806675,NCT01824823,NCT00088907,NCT00114283,NCT01613768,NCT01637194,NCT01696955,NCT01711541,NCT01810913,NCT01816984"
infection of total ankle joint prosthesis,NCT01641848
aortic stenosis,"NCT00092677,NCT01161732,NCT01319799,NCT01334801,NCT01404975,NCT01579058,NCT01645202,NCT01648309,NCT01672268,NCT01742702"
her2 mutant non small cell lung cancer,NCT01827267
immunogenicity,"NCT01399853,NCT01763268"
methylmalonic acidemia mma,"NCT01597440,NCT01599286"
body image disturbance,NCT01817621
vision correction,NCT00638846
cerebrovascular accident,"NCT00122980,NCT00311402,NCT00460564,NCT00460655,NCT01094470,NCT01102309,NCT01169181,NCT01340404,NCT01525979,NCT01655160,NCT01655446,NCT01656876,NCT01712724,NCT01727648,NCT01774669"
vascular system injuries,NCT01668836
surgically created resection cavity,NCT01756183
utilization of postpartum contraception,NCT01199601
fetal brain size,NCT01248260
port failure,NCT01047644
surgical procedure unspecified,"NCT01369654,NCT01531504,NCT01582555"
dupuytren contracture,"NCT01184586,NCT01776892"
heart septal defects ventricular,NCT01480908
pulmonary infections,NCT01519661
social phobia,"NCT01312571,NCT01388231,NCT01397032,NCT01416805,NCT01463137,NCT01503151,NCT01570400,NCT01577303,NCT01736631"
egfr tyrosine kinase inhibitor 324674,NCT01542437
cervical spinal cord injury,"NCT01579604,NCT01800409"
heat illness,NCT01789931
appendix cancer,NCT01815359
hepatocellular carcinoma metastatic,NCT01839604
chronic subclinic inflammation,NCT01492114
recurrent adult immunoblastic large cell lymphoma,"NCT01805037,NCT00003196,NCT00005803,NCT00014235,NCT00019708,NCT00025415,NCT00040846,NCT00073918,NCT00060112,NCT01273766,NCT00098891,NCT01408043,NCT01434472,NCT00110071,NCT00003970,NCT01652014,NCT01658319,NCT01727102,NCT01729806,NCT01760655,NCT01815749,NCT00089076"
distal femoral fractures,NCT01687530
chronic wound,NCT01429519
perforated diverticulitis,NCT01317485
resectable rectal cancer clinical stage ii and iii,NCT01152710
disorders of excessive somnolence,NCT01554527
invasive breast carcinoma,NCT00429182
postoperative blood loss,NCT01475669
ulcer,"NCT00402727,NCT01770509"
stage iv squamous cell carcinoma of the hypopharynx,"NCT01824823,NCT00033449,NCT00063895,NCT00031681,NCT00088907,NCT00098631,NCT00101348,NCT00114283,NCT01164566,NCT01192815,NCT01334177,NCT01637194,NCT01674374,NCT01682031,NCT01696955,NCT01810913,NCT01816984"
stage iiib intraocular melanoma,NCT01835145
post operative pain management in children with tonsillectomyadenoidectomy,NCT01707420
imaging techniques,NCT01785368
postoperative vomiting,NCT01116713
airway management,"NCT00956592,NCT01191619,NCT01475487,NCT01556061,NCT01718561"
cerebral cavernous malformations,NCT01764529
plasma lipids,NCT01545219
dengue hemorrhagic fever,"NCT01411241,NCT01436396"
varicella,"NCT00975507,NCT00986232,NCT01190228,NCT01830283"
bioactive substances from plant foods such as the,NCT01397071
second trimester medical abortion,NCT01617564
trigger finger release,NCT01751347
mobil unit,NCT01449968
cocaine use,NCT01631383
actinic porokeratosis,NCT01493921
progesterone receptor negative pr negative breast cancer,NCT01173497
protein metabolism,NCT01461603
dependency burden,NCT02065427
postoperative orthostatic hypotension,NCT01707953
cardiopulmonary bypass graft,NCT01616069
future planning,NCT01575457
loss of chromosomes 1p19q,NCT01534845
pancreatic cancer metastatic,"NCT01600807,NCT01652976"
adaptation reaction,NCT01530035
post traumatic stress disorders,"NCT01278316,NCT01365377"
rare anemia,NCT00171301
irritable bowel syndrome with diarrhea,"NCT01303224,NCT01316718"
influenza vaccine,"NCT01100294,NCT01368796,NCT01687517"
severe pre eclampsia,NCT01766089
cancer of the breast,"NCT01498588,NCT00193778"
traumatic optic neuropathy,NCT01783847
tachycardia ventricular,"NCT01222156,NCT01546207,NCT01572246"
mitral valve repair,NCT01166841
amphetamine abuse,"NCT01273701,NCT01296802"
post menopausal er stage i iiia primary operable breast cancer,NCT01814865
intra cytoplasmic sperm injection outcome,NCT01563822
very long chain acyl coa dehydrogenase deficiency,NCT01494051
breast cancer ductal infiltrating metastatic,NCT01349842
hematologic malignancy,"NCT01839747,NCT01163201,NCT01324310,NCT01324323,NCT01416025,NCT01532635,NCT01572181"
adherence,"NCT01120704,NCT01247181,NCT00218634"
cicatrix hypertrophic,NCT01346969
analgesia after ed discharge for extremity injuries,NCT01402375
autonomic nervous system,NCT01574196
conversion disorder,NCT00159965
failed or difficult intubation,"NCT01546246,NCT01691703"
phenylketonuria pku,NCT01376908
dermatitis atopic,"NCT01098734,NCT01301508,NCT01326520,NCT01497119,NCT01652885,NCT01737710,NCT01772056,NCT01782729,NCT01828879"
complicated infection,NCT01689207
clostridium botulinum toxin adverse reaction,NCT01421719
colitis ulcerative,"NCT01100112,NCT01301417,NCT01493960,NCT01534312,NCT01658605,NCT00151892"
non metastatic cancer,NCT01141933
